day,WDIR,WSPD,PRES,ATMP,WTMP,DEWP
2000-01-01,181.33333333333334,5.445833333333333,1013.7416666666667,2.475,1.1958333333333333,-1.1791666666666667
2000-01-02,159.83333333333334,5.579166666666667,1005.9333333333334,4.058333333333334,1.425,3.8833333333333333
2000-01-03,117.20833333333333,9.258333333333333,1014.7375000000001,0.425,0.9833333333333334,-0.15833333333333333
2000-01-04,240.08333333333334,3.670833333333333,1008.2583333333333,-2.3416666666666663,0.3625,-3.658333333333333
2000-01-05,257.0,4.929166666666666,1023.7208333333333,-6.066666666666666,0.14583333333333334,-9.558333333333334
2000-01-06,209.83333333333334,10.112499999999999,1017.4625,-1.0291666666666666,0.9416666666666668,-4.175
2000-01-07,264.375,5.391666666666667,1024.6916666666666,-6.104166666666667,0.8083333333333332,-12.083333333333334
2000-01-08,212.29166666666666,8.204166666666667,1016.1875,-0.08333333333333338,0.8250000000000001,-6.641666666666667
2000-01-09,177.45833333333334,2.954166666666667,1009.5833333333334,1.0166666666666666,1.1666666666666667,0.325
2000-01-10,222.41666666666666,11.529166666666667,1005.2437500000001,45.10833333333333,,44.94583333333333
2000-01-11,258.1666666666667,7.3500000000000005,1000.9041666666667,1.1541666666666666,43.824999999999996,-1.5583333333333336
2000-01-12,214.16666666666666,6.258333333333333,1021.9916666666667,-6.870833333333334,1.0291666666666666,-11.145833333333334
2000-01-13,241.625,10.683333333333332,1026.0541666666666,-5.191666666666666,-0.05416666666666667,-6.758333333333333
2000-01-14,258.2916666666667,3.4333333333333336,1039.6916666666666,-8.4125,-0.08750000000000001,-11.237499999999999
2000-01-15,188.375,6.808333333333334,1022.7541666666666,-1.325,0.5,-3.9583333333333335
2000-01-16,261.7916666666667,8.229166666666666,1025.9166666666667,-2.8625000000000003,0.39166666666666666,-7.520833333333333
2000-01-17,114.95833333333333,10.329166666666667,1037.1583333333333,-5.354166666666667,-0.075,-9.270833333333334
2000-01-18,211.29166666666666,7.825,1019.9208333333332,-3.2916666666666665,41.516666666666666,-4.9875
2000-01-19,293.3333333333333,4.391666666666667,1016.9416666666666,-7.979166666666667,-0.10000000000000002,-12.329166666666666
2000-01-20,297.7916666666667,9.054166666666667,1015.7624999999999,-11.112499999999999,-0.10000000000000002,-14.1875
2000-01-21,287.25,7.425,1021.7541666666666,-17.108333333333334,-0.10000000000000002,-22.116666666666664
2000-01-22,254.625,4.020833333333333,1018.2166666666667,-10.700000000000001,-0.05000000000000001,-14.045833333333334
2000-01-23,317.9583333333333,14.891666666666667,1019.1833333333334,75.35,,71.74166666666666
2000-01-24,253.5,6.608333333333333,1020.15,-14.045833333333334,-0.08333333333333333,-19.3625
2000-01-25,294.7083333333333,7.666666666666667,1016.8916666666668,-8.295833333333333,41.53333333333333,-12.3375
2000-01-26,326.2916666666667,9.200000000000001,1024.9125000000001,-9.987499999999999,41.512499999999996,-14.9375
2000-01-27,309.3333333333333,5.383333333333333,1033.875,-8.629166666666666,-0.08750000000000001,-12.916666666666666
2000-01-28,286.4583333333333,3.3249999999999997,1037.8875,-7.079166666666667,-0.05000000000000001,-12.3125
2000-01-29,239.875,3.5833333333333335,1035.9125000000001,-4.883333333333334,-0.05833333333333334,-10.112499999999999
2000-01-30,62.583333333333336,7.620833333333334,1022.6708333333332,-1.2291666666666667,-0.041666666666666664,-3.7916666666666665
2000-01-31,282.6666666666667,6.816666666666666,1012.2958333333332,-4.7625,-0.07916666666666668,-8.333333333333334
2000-02-01,306.5833333333333,7.2250000000000005,1018.525,-3.5041666666666664,-0.08333333333333333,-8.691666666666666
2000-02-02,247.33333333333334,6.0249999999999995,1023.3333333333334,-5.5375000000000005,-0.0625,-11.241666666666667
2000-02-03,250.83333333333334,4.5375000000000005,1005.5791666666668,-2.5500000000000003,0.3625,-3.5708333333333333
2000-02-04,326.5833333333333,9.691666666666666,1015.9291666666667,-2.7083333333333335,41.604166666666664,-5.175
2000-02-05,271.3333333333333,7.695833333333333,1021.8166666666666,-3.7458333333333336,-0.07083333333333335,-10.333333333333334
2000-02-06,271.75,4.6875,1025.3833333333334,-3.3666666666666667,0.012499999999999999,-7.158333333333334
2000-02-07,173.95833333333334,7.216666666666666,1022.4791666666666,-1.5999999999999999,0.26666666666666666,-4.595833333333333
2000-02-08,260.6666666666667,9.691666666666666,1017.9270833333333,37.699999999999996,41.7125,33.55416666666667
2000-02-09,201.08333333333334,7.2375,1013.375,1.0166666666666666,1.0875000000000001,-1.9166666666666667
2000-02-10,43.041666666666664,9.670833333333333,1012.4583333333334,0.07916666666666668,0.37083333333333335,-0.4375
2000-02-11,327.4583333333333,8.924999999999999,1019.2125,-6.716666666666666,-0.041666666666666664,-9.833333333333334
2000-02-12,246.83333333333334,3.5875,1024.5541666666666,-8.991666666666667,-0.0625,-14.008333333333333
2000-02-13,116.125,7.05,1014.9041666666667,-1.8708333333333333,0.025000000000000005,-2.9
2000-02-14,278.1666666666667,7.204166666666667,1014.2375000000001,-3.983333333333333,-0.04583333333333334,-5.579166666666667
2000-02-15,197.83333333333334,7.233333333333333,1015.7833333333333,-2.3375,0.14583333333333334,-3.9875000000000003
2000-02-16,289.875,8.054166666666667,1018.7166666666667,-2.7874999999999996,0.26666666666666666,-6.566666666666666
2000-02-17,263.7916666666667,3.8874999999999997,1031.7375,-5.5375000000000005,0.004166666666666667,-10.383333333333333
2000-02-18,76.875,8.308333333333334,1022.2708333333334,-1.5750000000000002,0.12083333333333333,-2.225
2000-02-19,259.3333333333333,6.920833333333333,1022.2666666666668,-1.8291666666666666,-0.05833333333333334,-6.55
2000-02-20,257.9166666666667,5.7375,1023.9833333333332,-2.7458333333333336,0.05416666666666666,-7.491666666666667
2000-02-21,189.75,4.954166666666667,1023.8833333333333,-0.5750000000000001,0.7666666666666666,-4.095833333333333
2000-02-22,207.625,11.304166666666667,1020.6020833333333,44.69166666666666,44.50833333333333,44.24583333333333
2000-02-23,165.125,3.954166666666667,1017.3208333333333,4.570833333333334,2.120833333333333,4.204166666666667
2000-02-24,209.83333333333334,8.416666666666666,1016.7541666666666,46.612500000000004,43.44583333333333,46.12916666666666
2000-02-25,205.08333333333334,3.3958333333333335,1016.1875,3.8041666666666667,1.0708333333333333,3.779166666666667
2000-02-26,175.5,8.791666666666666,1008.0833333333334,5.716666666666666,1.3583333333333334,5.7
2000-02-27,247.04166666666666,7.445833333333334,1009.1416666666668,6.516666666666667,0.6708333333333334,3.1291666666666664
2000-02-28,235.25,4.595833333333333,1022.8583333333332,3.6833333333333336,0.24583333333333335,-3.6666666666666665
2000-02-29,174.70833333333334,8.908333333333333,1016.1916666666666,3.920833333333333,1.7916666666666667,3.079166666666667
2000-03-01,254.0,7.666666666666667,1008.0124999999999,5.241666666666666,2.733333333333333,1.491666666666667
2000-03-02,231.83333333333334,7.533333333333334,1023.1541666666667,0.9375,2.845833333333333,36.512499999999996
2000-03-03,211.83333333333334,4.0,1021.5333333333333,0.7875000000000001,2.7125,-3.275
2000-03-04,203.45833333333334,3.904166666666667,1012.2624999999999,4.75,4.095833333333333,-2.6791666666666667
2000-03-05,202.95833333333334,4.041666666666667,1013.8291666666668,4.0125,4.858333333333333,1.3916666666666666
2000-03-06,208.04166666666666,3.475,1018.6833333333334,4.004166666666666,4.1499999999999995,3.5416666666666665
2000-03-07,192.45833333333334,6.825,1013.8791666666666,10.75,7.329166666666667,6.979166666666667
2000-03-08,190.04166666666666,5.870833333333334,1008.5208333333334,12.695833333333333,7.358333333333333,10.9375
2000-03-09,201.83333333333334,10.049999999999999,1003.1958333333333,5.345833333333334,7.6625000000000005,2.670833333333333
2000-03-10,182.875,7.729166666666667,1023.1791666666667,-3.533333333333333,4.825,-6.704166666666667
2000-03-11,144.54166666666666,4.5375000000000005,1023.3166666666666,-2.7875,4.2625,-9.433333333333334
2000-03-12,173.33333333333334,3.65,1021.4666666666667,-0.7083333333333334,3.7125,-5.783333333333334
